word,weight
malas,-5
mikir,-5
susah,-5
bingung,-5
tolol,-5
error,-5
jelek,-5
pusing,-5
curang,-5
baca,-5
sulit,-5
suruh,-5
capek,-5
buruk,-5
otak,-5
fikir,-5
google,-5
parah,-5
etik,-5
mulu,-5
ribet,-5
anjing,-5
googling,-5
gagal,-5
mending,-5
entar,-5
bodoh,-5
ayat,-5
template,-5
kocak,-5
mau,-4
goblok,-4
pon,-4
dah,-4
upchar,-4
andal,-4
pasal,-4
omong,-4
diam,-4
dikit,-4
saking,-4
ngandelin,-4
babi,-4
kudu,-4
komen,-4
ketemu,-4
makan,-4
type,-4
repot,-4
tunggu,-4
kagak,-4
on,-4
least,-4
murid,-4
hmm,-4
nyontek,-4
kelompok,-4
semenjak,-4
orang,-4
sorry,-4
payah,-3
research,-3
oon,-3
solusi,-3
instan,-3
sikit,-3
kot,-3
mesti,-3
search,-3
keburu,-3
pengin,-3
searching,-3
tahap,-3
debat,-3
caption,-3
mintak,-3
obrol,-3
minimal,-3
gegara,-3
ih,-3
teruk,-3
main,-3
tanda,-3
ditanyain,-3
turun,-3
suh,-3
kata,-3
malesan,-3
halah,-3
jela,-3
buzzer,-2
gugel,-2
effort,-2
cerai,-2
pastu,-2
letter,-2
tanggap,-2
translate,-2
bilang,-2
anjg,-2
disuapin,-2
ciri,-2
buang,-2
nyerah,-2
tahi,-2
paste,-2
suka,-2
layan,-2
ngeluh,-2
hire,-2
mandi,-2
why,-2
kirim,-2
biar,-2
taknak,-2
isteri,-2
app,-2
cerita,-2
suami,-2
guru,-2
malu,-1
taip,-1
body,-1
budak,-1
detik,-1
disalahin,-1
tolong,-1
negara,-1
dampak,-1
ngitung,-1
ngambil,-1
itinerary,-1
chatan,-1
nyuruh,-1
mentok,-1
serah,-1
ujung,-1
long,-1
pening,-1
janji,-1
assignment,-1
tiktok,-1
ubek,-1
summarise,-1
rajin,-1
noh,-1
laptop,-1
risau,-1
mama,-1
gedek,-1
