Label,Term
Etika,etika
Etika,moral
Etika,kejujuran
Etika,jujur
Etika,integritas
Etika,amanah
Etika,adil
Etika,tanggung jawab
Etika,bertanggung jawab
Etika,kode etik
Etika,disiplin
Etika,plagiat
Etika,plagiarisme
Etika,penjiplakan
Etika,menjiplak
Etika,nyontek
Etika,mencontek
Etika,curang
Etika,kecurangan
Etika,bohong
Etika,berbohong
Etika,copypaste
Etika,copy paste
Etika,copy-paste
Etika,turnitin
Etika,tidak etis
Etika,tidak bermoral
Etika,amoral
Etika,immoral
Etika,hak cipta
Etika,copyright
Etika,keaslian
Etika,asli
Etika,original
Etika,autentik
Etika,sitasi
Etika,kutipan
Etika,referensi
Etika,sumber
Etika,atribusi
Etika,kredit
Etika,mengakui
Etika,pelanggaran
Etika,aturan
Etika,meniru
Etika,peraturan
Etika,tata tertib
Etika,sanksi
Etika,hukuman
Etika,denda
Etika,skorsing
Etika,dikeluarkan
Etika,fabrikasi
Etika,falsifikasi
Etika,data palsu
Etika,hasil palsu
Etika,rekayasa
Etika,fabricate
Etika,misconduct
Etika,penipuan akademik
Psikologis,stres
Psikologis,stress
Psikologis,tertekan
Psikologis,tekanan
Psikologis,overwhelmed
Psikologis,kewalahan
Psikologis,beban
Psikologis,terbebani
Psikologis,cemas
Psikologis,anxiety
Psikologis,gelisah
Psikologis,resah
Psikologis,khawatir
Psikologis,panik
Psikologis,nervous
Psikologis,gugup
Psikologis,depresi
Psikologis,depressed
Psikologis,sedih
Psikologis,murung
Psikologis,putus asa
Psikologis,hopeless
Psikologis,menyerah
Psikologis,lelah
Psikologis,kelelahan
Psikologis,capek
Psikologis,burnout
Psikologis,exhausted
Psikologis,letih
Psikologis,loyo
Psikologis,drop
Psikologis,frustrasi
Psikologis,frustrated
Psikologis,kesal
Psikologis,jengkel
Psikologis,bingung
Psikologis,stuck
Psikologis,buntu
Psikologis,motivasi
Psikologis,termotivasi
Psikologis,semangat
Psikologis,bersemangat
Psikologis,antusias
Psikologis,males
Psikologis,malas
Psikologis,tidak mood
Psikologis,percaya diri
Psikologis,pede
Psikologis,confidence
Psikologis,insecure
Psikologis,minder
Psikologis,rendah diri
Psikologis,takut gagal
Psikologis,mental health
Psikologis,kesehatan mental
Psikologis,psikis
Psikologis,emosional
Psikologis,trauma
Psikologis,traumatis
Psikologis,disorder
Sosial,kolaborasi
Sosial,kerjasama
Sosial,bekerja sama
Sosial,kooperatif
Sosial,koordinasi
Sosial,sinergi
Sosial,diskusi
Sosial,dialog
Sosial,sharing
Sosial,berbagi
Sosial,ngobrol
Sosial,komunikasi
Sosial,berkomunikasi
Sosial,komunitas
Sosial,kelompok
Sosial,grup
Sosial,team
Sosial,tim
Sosial,circle
Sosial,peer
Sosial,sejawat
Sosial,tutor sebaya
Sosial,mentoring
Sosial,peer learning
Sosial,group project
Sosial,teman
Sosial,sahabat
Sosial,rekan
Sosial,kolega
Sosial,mitra
Sosial,kawan
Sosial,jaringan
Sosial,relasi
Sosial,networking
Sosial,hubungan
Sosial,pertemanan
Sosial,forum
Sosial,komentar
Sosial,feedback
Sosial,webinar
Sosial,zoom
Sosial,telegram
Sosial,discord
Sosial,grup wa
Sosial,dosen
Sosial,profesor
Sosial,pengajar
Sosial,pembimbing
Sosial,advisor
Sosial,supervisor
Sosial,mentor
Sosial,asisten
Inovatif,inovasi
Inovatif,inovatif
Inovatif,kreatif
Inovatif,kreativitas
Inovatif,imajinatif
Inovatif,visioner
Inovatif,baru
Inovatif,unik
Inovatif,fresh
Inovatif,eksperimen
Inovatif,mencoba
Inovatif,uji coba
Inovatif,eksplorasi
Inovatif,trial
Inovatif,testing
Inovatif,bereksperimen
Inovatif,transformasi
Inovatif,revolusi
Inovatif,terobosan
Inovatif,disrupsi
Inovatif,perubahan
Inovatif,adaptif
Inovatif,reformasi
Inovatif,machine learning
Inovatif,kecerdasan buatan
Inovatif,llm
Inovatif,automation
Inovatif,smart
Inovatif,cerdas
Inovatif,efisiensi
Inovatif,produktifitas
Inovatif,optimal
Inovatif,meningkatkan
Inovatif,improve
Inovatif,solusi
Inovatif,membantu
Inovatif,future
Inovatif,futuristic
Inovatif,masa depan
Inovatif,next generation
Inovatif,society 5.0
Inovatif,industry 4.0
Teknis,akurat
Teknis,akurasi
Teknis,tepat
Teknis,valid
Teknis,benar
Teknis,salah
Teknis,error
Teknis,incorrect
Teknis,inaccurate
Teknis,reliable
Teknis,kredibel
Teknis,terpercaya
Teknis,stabil
Teknis,bug
Teknis,performa
Teknis,performance
Teknis,cepat
Teknis,lambat
Teknis,lemot
Teknis,lag
Teknis,responsif
Teknis,hang
Teknis,crash
Teknis,masalah
Teknis,problem
Teknis,kendala
Teknis,trouble
Teknis,error
Teknis,bug
Teknis,issue
Teknis,glitch
Teknis,crash
Teknis,terbatas
Teknis,limitasi
Teknis,keterbatasan
Teknis,tidak bisa
Teknis,gagal
