slang,normal
gk,tidak
ga,tidak
gak,tidak
nggak,tidak
ngga,tidak
tdk,tidak
tak,tidak
bkn,bukan
bgt,banget
bgtt,banget
bangettt,banget
bngt,banget
tp,tapi
tpi,tapi
krn,karena
krna,karena
udh,sudah
sdh,sudah
uda,sudah
udah,sudah
yg,yang
aja,saja
ajaah,saja
ajaahh,saja
kok,kok
pdhl,padahal
sm,sama
sma,sama
dr,dari
dri,dari
dlm,dalam
trs,terus
trus,terus
lg,lagi
lgi,lagi
dg,dengan
dgn,dengan
org,orang
kmrn,kemarin
skrng,sekarang
skrg,sekarang
bnyk,banyak
byk,banyak
bnr,benar
bner,benar
sll,selalu
slalu,selalu
blm,belum
belom,belum
gmn,bagaimana
gmna,bagaimana
bgmn,bagaimana
knp,kenapa
kenp,kenapa
apkh,apakah
tdi,tadi
tdkny,tidaknya
klo,kalau
kl,kalau
kalo,kalau
udhny,sudahnya
